id,station,date,prcp,tobs
3262,USC00513117,2011-06-25,0.0,76.0
3263,USC00513117,2011-06-26,0.04,74.0
3264,USC00513117,2011-06-27,0.03,74.0
3265,USC00513117,2011-06-28,0.1,74.0
3266,USC00513117,2011-06-29,0.0,74.0
3267,USC00513117,2011-06-30,0.0,74.0
3587,USC00513117,2012-06-01,0.08,71.0
3588,USC00513117,2012-06-02,0.03,71.0
3589,USC00513117,2012-06-03,0.0,75.0
3590,USC00513117,2012-06-04,0.0,72.0
3591,USC00513117,2012-06-05,0.0,72.0
3592,USC00513117,2012-06-06,0.03,73.0
3593,USC00513117,2012-06-07,0.0,73.0
3594,USC00513117,2012-06-08,0.0,73.0
3595,USC00513117,2012-06-09,0.0,74.0
3596,USC00513117,2012-06-10,0.0,73.0
3597,USC00513117,2012-06-11,0.04,72.0
3598,USC00513117,2012-06-12,0.02,72.0
3599,USC00513117,2012-06-13,0.05,70.0
3600,USC00513117,2012-06-14,0.08,72.0
3601,USC00513117,2012-06-15,0.0,72.0
3602,USC00513117,2012-06-16,0.0,72.0
3603,USC00513117,2012-06-17,0.02,74.0
3604,USC00513117,2012-06-18,0.0,73.0
3605,USC00513117,2012-06-19,0.01,73.0
3606,USC00513117,2012-06-20,0.14,70.0
3607,USC00513117,2012-06-21,0.02,73.0
3608,USC00513117,2012-06-22,0.01,72.0
3609,USC00513117,2012-06-23,0.28,73.0
3610,USC00513117,2012-06-24,0.27,69.0
3611,USC00513117,2012-06-25,0.04,72.0
3612,USC00513117,2012-06-26,0.22,71.0
3613,USC00513117,2012-06-27,0.23,71.0
3614,USC00513117,2012-06-28,0.0,73.0
3615,USC00513117,2012-06-29,0.06,73.0
3616,USC00513117,2012-06-30,0.0,72.0
3949,USC00513117,2013-06-01,0.05,75.0
3950,USC00513117,2013-06-02,0.02,75.0
3951,USC00513117,2013-06-03,0.02,75.0
3952,USC00513117,2013-06-04,0.0,75.0
3953,USC00513117,2013-06-05,0.0,74.0
3954,USC00513117,2013-06-06,0.03,74.0
3955,USC00513117,2013-06-07,0.0,74.0
3956,USC00513117,2013-06-08,0.0,75.0
3957,USC00513117,2013-06-09,0.0,75.0
3958,USC00513117,2013-06-10,0.02,74.0
3959,USC00513117,2013-06-11,0.0,75.0
3960,USC00513117,2013-06-12,0.0,75.0
3961,USC00513117,2013-06-13,0.02,74.0
3962,USC00513117,2013-06-14,0.08,72.0
3963,USC00513117,2013-06-15,0.01,74.0
3964,USC00513117,2013-06-16,0.0,74.0
3965,USC00513117,2013-06-17,0.01,74.0
3966,USC00513117,2013-06-18,0.02,74.0
3967,USC00513117,2013-06-19,0.0,74.0
3968,USC00513117,2013-06-20,0.0,72.0
3969,USC00513117,2013-06-21,0.22,70.0
3970,USC00513117,2013-06-22,0.27,75.0
3971,USC00513117,2013-06-23,0.03,74.0
3972,USC00513117,2013-06-24,0.02,71.0
3973,USC00513117,2013-06-25,0.05,71.0
3974,USC00513117,2013-06-26,1.0,70.0
3975,USC00513117,2013-06-27,0.1,73.0
3976,USC00513117,2013-06-28,0.02,71.0
3977,USC00513117,2013-06-29,0.22,71.0
3978,USC00513117,2013-06-30,0.01,77.0
4310,USC00513117,2014-06-01,0.0,77.0
4311,USC00513117,2014-06-02,0.0,74.0
4312,USC00513117,2014-06-03,0.0,73.0
4313,USC00513117,2014-06-04,0.0,75.0
4314,USC00513117,2014-06-05,0.0,75.0
4315,USC00513117,2014-06-06,0.13,74.0
4316,USC00513117,2014-06-07,0.01,74.0
4317,USC00513117,2014-06-08,0.02,75.0
4318,USC00513117,2014-06-09,0.02,75.0
4319,USC00513117,2014-06-10,0.1,72.0
4320,USC00513117,2014-06-11,0.15,74.0
4321,USC00513117,2014-06-12,0.0,76.0
4322,USC00513117,2014-06-13,0.0,76.0
4323,USC00513117,2014-06-14,0.0,75.0
4324,USC00513117,2014-06-15,0.01,75.0
4325,USC00513117,2014-06-16,0.12,74.0
4326,USC00513117,2014-06-17,0.05,72.0
4327,USC00513117,2014-06-18,0.07,74.0
4328,USC00513117,2014-06-19,0.0,75.0
4329,USC00513117,2014-06-20,0.29,70.0
4330,USC00513117,2014-06-21,0.06,71.0
4331,USC00513117,2014-06-22,0.15,72.0
4332,USC00513117,2014-06-23,0.15,71.0
4333,USC00513117,2014-06-24,0.1,73.0
4334,USC00513117,2014-06-25,0.04,74.0
4335,USC00513117,2014-06-26,0.04,72.0
4336,USC00513117,2014-06-27,0.02,74.0
4337,USC00513117,2014-06-28,0.25,76.0
4338,USC00513117,2014-06-29,0.18,72.0
4339,USC00513117,2014-06-30,0.03,75.0
4670,USC00513117,2015-06-03,,75.0
